pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature
109 psc b,1.152,6.8,1075.4,0.104,109 Psc,1.13,1.79,5600.0,32.56,26.2326,20.08315,2000,"Radial Velocity, Astrometry",
112 psc b,,,4.4,0.376,112 Psc,1.1,1.801,5986.0,31.7627,30.03816479792542,3.097014011124166,2022,Radial Velocity,
112 psc c,,9.866,36336.7,0.174,112 Psc,1.1,1.801,5986.0,31.7627,30.03816479792542,3.097014011124166,2022,"Radial Velocity, Astrometry",
11 umi b,,,516.22,0.08,11 UMi,1.8,24.08,4340.0,119.5,229.275,71.8238889,2009,Radial Velocity,
14 and ab,,,185.84,0.0,14 And A,2.2,11.0,4813.0,76.4,352.8208333,39.2361111,2008,Radial Velocity,
14 her b,,8.9,1767.56,0.3683,14 Her,0.9,0.708,5311.0,18.1,242.5958333,43.8216667,2002,"Radial Velocity, Astrometry",
14 her c,,7.9,52160.0,0.52,14 Her,0.9,0.708,5311.0,18.1,242.5958333,43.8216667,2006,"Radial Velocity, Astrometry, Imaging",
16 cyg bb,,,799.5,0.689,16 Cyg B,1.01,0.98,5766.0,21.41,295.4625,50.5175,1996,Radial Velocity,
18 del ab,,,993.3,0.08,18 Del A,2.3,8.5,4979.0,73.1,314.6083333,10.8391667,2008,Radial Velocity,
1rxs 1609 b,1.7,6.6,,0.25,1RXS 1609,0.73,1.35,4060.0,145.0,242.375,-21.0827778,2008,Imaging,
23 lib b,,1.8,258.19,0.233,23 Lib,1.07,1.25,5740.0,22.2,228.3666667,-25.3091667,1999,Radial Velocity,
23 lib c,,1.9,5000.0,0.12,23 Lib,1.07,1.25,5740.0,22.2,228.3666667,-25.3091667,2009,Radial Velocity,
24 boo b,,,30.3506,0.042,24 Bo&ouml;,0.99,10.64,4893.0,100.0,217.162500013,49.845000026,2018,Radial Velocity,
24 sex b,,,452.8,0.09,24 Sex,1.54,4.9,5098.0,72.2084,155.868205808,-0.902243675771,2010,Radial Velocity,
24 sex c,,,883.0,0.29,24 Sex,1.54,4.9,5098.0,72.2084,155.868205808,-0.902243675771,2010,Radial Velocity,
2m1510 (ab)b,,0.031,100.0,,2M1510(AB),0.066,,,35.51,227.699375,-28.30486388888889,2025,Radial Velocity,
2mass j0103-5515 (ab)b,1.54,10.5,,,2MASS J0103-5515,0.4,,,47.2,15.9,-55.2656,2013,Imaging,
2mass j0437+2651 b,,4.0,,,2MASS J0437+2651,0.0165,0.84,3100.0,128.1,69.3405544,26.850296,2021,Imaging,
2mass j0534-0530 b,,4.6,,,2MASS J0534-0530,0.07,0.74,2841.0,413.5,83.61902968,-5.509038831,2020,Imaging,
2mass j0558-4501 b,,9.0,,,2MASS J0558-4501,,,,,89.56833333333333,-45.03247222222223,2024,Imaging,
2mass j1155-7919 b,,10.0,,,2MASS J1155-7919,,,,101.15,178.769,-79.32,2020,Astrometry,
2mass j1252+2735 b,,,35.08,0.0,2MASS J1252+2735,0.88,1.076,5181.0,197.2,193.212500017,27.586944459,2021,Radial Velocity,
2mass j1253+2734 b,,,24.31,0.681,2MASS J1253+2734,0.71,0.633,4535.0,196.184,193.254166667,27.57194446,2021,Radial Velocity,
2mass j1258+2630 b,,,11.88,0.598,2MASS J1258+2630,0.5898,0.602,3825.0,58.5849,194.595833341,26.502500012,2021,Radial Velocity,
2mass j2236+4751 b,,12.5,,,2MASS J2236+4751,0.6,,,63.0,339.104166675,47.861944471,2016,Imaging,
38 vir b,,,825.9,0.03,38 Vir,1.18,1.45,6557.0,,193.296489462,-3.55309929126,2016,Primary Transit,
41 com ab,,,610.2,0.28,41 Com,1.49,25.11,4181.0,102.0,196.795833337,27.624722241,2017,Radial Velocity,
44 uma b,,,785.74,0.11,44 Uma,2.19,45.12,4215.0,200.4,163.39355033875404,54.58512741108192,2020,Radial Velocity,
47 uma b,,,1078.0,0.032,47 UMa,1.03,1.24,5892.0,13.97,164.8708333,40.4294444,1996,Radial Velocity,
47 uma c,,,2391.0,0.098,47 UMa,1.03,1.24,5892.0,13.97,164.8708333,40.4294444,2001,Radial Velocity,
47 uma d,,,14002.0,0.16,47 UMa,1.03,1.24,5892.0,13.97,164.8708333,40.4294444,2010,Radial Velocity,
51 eri ab,1.11,4.1,10260.0,0.49,51 Eri A,1.75,,,29.4,69.4005514287,-2.47354859817,2015,Imaging,
51 peg b,1.9,0.61,4.2307966,0.0069,51 Peg,1.03,1.176,5758.0,15.4614,344.3625,20.7686111,1995,Radial Velocity,
51 peg c,,10.0,,,51 Peg,1.03,1.176,5758.0,15.4614,344.3625,20.7686111,2011,"Imaging, Astrometry",
54 psc b,,0.23,62.25,0.645,54 Psc,0.79,0.947,5173.0,11.0,9.8375,21.2502778,2003,Radial Velocity,
55 cnc ab,,0.84,14.65314,0.0023,55 Cnc A,0.9,0.963,5250.0,12.5855,133.1492129350179,28.330820831797222,1996,Radial Velocity,
55 cnc ac,,,44.373,0.072,55 Cnc A,0.9,0.963,5250.0,12.5855,133.1492129350179,28.330820831797222,2002,Radial Velocity,
55 cnc ad,,,5574.2,0.0269,55 Cnc A,0.9,0.963,5250.0,12.5855,133.1492129350179,28.330820831797222,2002,Radial Velocity,
55 cnc ae,0.1737,0.02703,0.7365478,0.028,55 Cnc A,0.9,0.963,5250.0,12.5855,133.1492129350179,28.330820831797222,2004,"Radial Velocity, Primary Transit",
55 cnc af,,,260.91,0.08,55 Cnc A,0.9,0.963,5250.0,12.5855,133.1492129350179,28.330820831797222,2007,Radial Velocity,
55 cnc bb,,,6.7994,0.0,55 Cnc B,0.26,0.274,3286.0,12.477,133.17025,28.316333333333333,2025,Radial Velocity,
55 cnc bc,,,33.747,0.0,55 Cnc B,0.26,0.274,3286.0,12.477,133.17025,28.316333333333333,2025,Radial Velocity,
61 vir b,,0.052,4.215,0.12,61 Vir,0.95,0.94,5531.0,8.52,199.6,-18.3111111,2009,Radial Velocity,
61 vir c,,0.021,38.021,0.14,61 Vir,0.95,0.94,5531.0,8.52,199.6,-18.3111111,2009,Radial Velocity,
61 vir d,,,123.01,0.35,61 Vir,0.95,0.94,5531.0,8.52,199.6,-18.3111111,2009,Radial Velocity,
6 lyn b,,,934.3,0.073,6 Lyn,1.7,5.2,4978.0,56.9,97.6958333,58.1627778,2008,Radial Velocity,
70 vir ab,,8.0,116.67,0.43,70 Vir A,0.92,1.968,5432.0,22.0,202.1083333,13.7866667,1996,Radial Velocity,
75 cet ab,,,696.6,0.093,75 Cet A,2.49,10.5,4846.0,81.5,38.0375,-1.035,2012,Radial Velocity,
75 cet ac,,,2052.0,0.023,75 Cet A,2.49,10.5,4846.0,81.5,38.0375,-1.035,2023,Radial Velocity,
79 cet ab,,,75.82,0.28,79 Cet A,1.01,1.0,5533.0,35.9,38.8291667,-3.5605556,2000,Radial Velocity,
81 cet b,,,952.7,0.206,81 Cet,2.4,11.0,,97.2,39.425,-3.3961111,2008,Radial Velocity,
82 eri b,,,18.313,0.057,82 Eri,0.813,0.9,5490.0,6.06,49.9833333,-43.0697222,2011,Radial Velocity,
82 eri c,,,89.68,0.077,82 Eri,0.813,0.9,5490.0,6.06,49.9833333,-43.0697222,2011,Radial Velocity,
82 eri d,,,648.2,0.47,82 Eri,0.813,0.9,5490.0,6.06,49.9833333,-43.0697222,2011,Radial Velocity,
82 eri e,,,147.02,0.29,82 Eri,0.813,0.9,5490.0,6.06,49.9833333,-43.0697222,2017,Radial Velocity,
8 umi b,,,93.31,0.062,8 Umi,1.8,9.9,4847.4,159.1,224.200000016,74.900833352,2015,Radial Velocity,
94 cet ab,,,466.2,0.063,94 Cet A,1.34,1.93,5984.0,22.38,48.1916667,-1.1958333,2003,Radial Velocity,
ab aur b,,9.0,,0.4,AB Aur,2.4,2.28,9500.0,144.0,73.9416667,30.5511111,2008,"Imaging, Other, Kinematic",
ab pic b,1.75,12.9,,0.54,AB Pic,,,5285.0,47.3,94.8,-58.0541667,2005,"Imaging, Astrometry",
ab pic c,,5.75,,,AB Pic,,,5285.0,47.3,94.8,-58.0541667,2022,Astrometry,
af lep b,1.3,3.75,8875.0,0.013,AF Lep,1.2,1.25,6130.0,26.843,81.770833335,-11.90111113,2023,Imaging,
alf ari b,,,380.8,0.25,alf Ari,1.5,13.9,4553.0,20.2,31.7916667,23.4622222,2011,Radial Velocity,
as 209 b,,1.3,,,AS 209,1.2,2.18,4265.0,121.0,252.312500005,-14.369166676,2022,Imaging,
at2021uey b,,1.34,4170.0,,AT2021uey,0.49,,3680.0,1040.0,324.5450416666667,26.466569444444445,2025,Microlensing,
au mic b,0.4273,0.028,8.463446,0.07,AU Mic,0.5,0.75,3700.0,9.79,311.29166667,-31.340833346,2020,Primary Transit,
au mic c,0.2248,0.0456,18.859023,0.18,AU Mic,0.5,0.75,3700.0,9.79,311.29166667,-31.340833346,2020,Primary Transit,
au mic d,,0.003187,12.73812,0.00097,AU Mic,0.5,0.75,3700.0,9.79,311.29166667,-31.340833346,2022,TTV,
barnard's star b,,,3.1542,0.03,Barnard's star,0.162,0.185,3195.0,1.82823,269.454166683,4.693333355,2024,Radial Velocity,
barnard's star c,,,4.1244,0.08,Barnard's star,0.162,0.185,3195.0,1.82823,269.454166683,4.693333355,2024,Radial Velocity,
barnard's star d,,,2.3402,0.04,Barnard's star,0.162,0.185,3195.0,1.82823,269.454166683,4.693333355,2024,Radial Velocity,
barnard's star e,,,6.7392,0.04,Barnard's star,0.162,0.185,3195.0,1.82823,269.454166683,4.693333355,2024,Radial Velocity,
b cen (ab)b,,10.9,1800000.0,0.4,b Cen (AB),5.5,,,99.7,220.491666686,-37.793611135,2021,Imaging,
bd+03 2562 b,,,481.9,0.2,BD+03 2562,1.14,32.35,4095.0,2618.0,177.564802922,2.76013113422,2017,Radial Velocity,
bd-06 1339 c,,,125.94,0.31,BD-06 1339,0.7,,4324.0,20.0,88.25,-5.9947,2013,Radial Velocity,
bd-06 1339 d,,,487.0,0.02,BD-06 1339,0.7,,4324.0,20.0,88.25,-5.9947,2014,Radial Velocity,
bd-06 1339 e,,,2.3946,0.03,BD-06 1339,0.7,,4324.0,20.0,88.25,-5.9947,2019,Radial Velocity,
bd-08 2823 b,,,5.6,0.15,BD-08 2823,0.74,,4746.0,42.2,150.2,-9.5166667,2009,Radial Velocity,
bd-08 2823 c,,,237.6,0.19,BD-08 2823,0.74,,4746.0,42.2,150.2,-9.5166667,2009,Radial Velocity,
bd-10 3166 b,1.03,0.51,3.4878,0.0104,BD-10 3166,0.99,1.71,5400.0,66.0,164.6166667,-10.7702778,2000,Radial Velocity,
bd-11 4672 b,,,1634.0,0.05,BD-11 4672,0.571,0.52,4475.0,27.3,278.370833343,-11.636111126,2010,Radial Velocity,
bd-11 4672 c,,,74.2,0.4,BD-11 4672,0.571,0.52,4475.0,27.3,278.370833343,-11.636111126,2020,Radial Velocity,
bd-14 3065 ab,1.93,12.37,4.2889731,0.07,BD-14 3065 A,1.41,2.35,6935.0,566.7,153.66970833333332,15.642869444444443,2024,Primary Transit,
bd+14 4559 b,,,268.94,0.29,BD+14 4559,0.86,,5008.0,50.0,318.4,14.6894444,2009,Radial Velocity,
bd+15 2375 b,,,153.22,0.001,BD+15 2375,1.08,8.95,4649.0,774.0,176.483333352,14.616388914,2016,Radial Velocity,
bd+15 2940 b,,,137.48,0.26,BD+15 2940,1.1,14.7,4796.0,585.0,240.0958,15.5469,2013,Radial Velocity,
bd-17 63 b,,5.325,655.6,0.54,BD-17 63,0.74,0.69,4714.0,34.6,7.1416667,-16.2263889,2008,Radial Velocity,
bd+20 2457 c,,,621.99,0.18,BD+20 2457,2.8,,4127.0,1670.0,154.1875,19.8913889,2009,Radial Velocity,
bd+20 274 b,,,578.2,0.21,BD+20 274,0.8,17.3,4296.0,,25.9208333,21.005,2010,Other,
bd+20 594 b,0.23,0.07,41.6855,0.0,BD+20 594,1.67,1.08,5766.0,180.39,53.650967,20.599232,2016,Primary Transit,
bd-21 397 c,,4.47,6369.25,0.296,BD-21 397,0.679,0.747,4051.0,23.74,33.300000004,-21.196388903,2023,"Radial Velocity, Astrometry",
