pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype
ab aur b,,2860.455663,,0.4,AB Aur,2.4,,9770.0,162.127,73.9410446,30.5510888,2022.0,Imaging,,A
hat-p-46 b,13.39344025,,4.46266465618,,HAT-P-46,,1.39514,7587.0,290.736,270.4441831,-2.97098,2014.0,Transit,1561.62,A
hat-p-57 b,,,2.46529488,,HAT-P-57,1.47,1.5,7500.0,279.86,274.743418,10.5971968,2015.0,Transit,,A8 V
hat-p-69 b,,,4.7869883,,HAT-P-69,1.648,1.926,7394.0,341.263,130.5056385,3.7105662,2019.0,Transit,,A
hats-70 b,,,1.88823968,,HATS-70,1.78,1.881,7930.0,1458.83,109.1045212,-31.2443947,2019.0,Transit,,A
hd 135344 a b,16.25302201,3178.28407,,0.5,HD 135344 A,,1.5,9540.0,141.595,228.9538416,-37.1489176,2025.0,Imaging,1585.0,A0 V
hd 56414 b,2.94821768,,29.0496801439,,HD 56414,,1.8,8208.0,272.217,107.8436846,-68.8333403,2022.0,Transit,1765.91,A
hip 39017 b,,7500.7504052,31000.0,0.55,HIP 39017,1.52,,,66.3217,119.7665756,-4.3326006,2024.0,Imaging,,A9/F0
hip 54515 b,,5625.5628039,33000.0,0.42,HIP 54515,1.9,,8100.0,82.8101,167.3066308,-1.3332838,2026.0,Imaging,,A5 V
hip 65426 b,16.8135,2860.47,,,HIP 65426,1.96,1.77,8840.0,108.875,201.1501727,-51.5045384,2017.0,Imaging,1500.0,A2 V
hip 99770 b,,5117.0373527,18600.0,0.25,HIP 99770,1.85,,8000.0,40.0765,303.6338344,36.8066046,2023.0,Imaging,,A5-A6
hr 8799 b,13.0,2000.0,170000.0,,HR 8799,1.5,,,41.2441,346.8701486,21.1340376,2008.0,Imaging,,A5 V
hr 8799 d,13.0,3000.0,37000.0,,HR 8799,1.5,,,41.2441,346.8701486,21.1340376,2008.0,Imaging,,A5 V
kelt-17 b,,,3.08017985,,KELT-17,1.635,1.645,7454.0,226.5,125.617407,13.7353093,2016.0,Transit,,A
kelt-19 a b,18.7958,,4.6117328,,KELT-19 A,,1.67,7346.0,300.276,111.5095293,7.6157759,2017.0,Transit,1722.0,A
kelt-20 b,21.2912,,3.4741012,,KELT-20,,1.62,8894.8,136.426,294.6614126,31.2192001,2017.0,Transit,2084.33,A
kic 7917485 b,,3750.394,840.0,0.15,KIC 7917485,1.63,,7067.0,1382.89,299.4346094,43.6326069,2016.0,Pulsation Timing Variations,,A
koi-13 b,25.8,,1.763587569,0.0,KOI-13,2.466,3.031,9107.0,519.096,286.9713876,46.8682463,2011.0,Transit,3560.0,A
kepler-1115 b,2.33,,23.5541012,0.0,Kepler-1115,2.335,2.286,9565.0,983.245,294.9917723,40.1443964,2016.0,Transit,1381.0,A
kepler-1517 b,20.24,,5.546083665,0.0,Kepler-1517,2.054,4.037,7358.0,847.299,287.8072115,43.1888008,2016.0,Transit,2335.0,A
kepler-340 b,4.61,,14.8444163,0.0,Kepler-340,2.046,3.177,8241.0,808.762,295.933471,40.3005515,2014.0,Transit,1672.0,A
kepler-462 b,,,84.68781817,,Kepler-462,1.82,1.61687,7735.0,596.625,299.8211502,43.8142793,2016.0,Transit,,A
kepler-462 c,,,207.5829306,,Kepler-462,1.82,1.61687,7735.0,596.625,299.8211502,43.8142793,2018.0,Transit,,A
mascara-1 b,16.8135,1175.971,2.14878,0.0,MASCARA-1,1.72,2.1,7554.0,182.273,317.5515264,10.7388967,2017.0,Transit,2570.0,A8
mascara-4 b,17.7861,,2.8240691,,MASCARA-4,,1.84,8004.2,170.696,147.5800667,-66.1139253,2020.0,Transit,2332.0,A
mwc 758 c,,,,,MWC 758,1.5,,,159.537,82.6147199,25.3324076,2023.0,Imaging,500.0,A8Ve
ngts-33 b,18.38272835,1153.71711741,2.827972,0.0,NGTS-33,1.6,1.47,7437.0,437.855,107.8333348,-35.8505185,2024.0,Transit,1991.0,A
toi-1431 b,16.70138124,991.62462984,2.650237,0.0022,TOI-1431,1.9,1.92,7690.0,148.925,316.2036922,55.5880221,2021.0,Transit,2370.0,Am C
toi-1994 b,11.5159,,4.0337201,,TOI-1994,,2.22,7369.0,515.603,147.1745753,-51.756564,2024.0,Transit,1841.0,A
toi-2497 b,11.14172682,1531.93292174,10.655669,0.195,TOI-2497,1.859,2.36,7360.0,285.289,90.0625878,11.8840577,2023.0,Transit,1595.0,A
toi-4588 b,6.1,,13.118908,0.0,TOI-4588,2.06,2.92,8002.0,225.181,282.0004201,48.542256,2026.0,Transit,1617.0,A
toi-615 b,19.1536,,4.6616079,,TOI-615,,1.7,7437.0,360.408,133.4086892,-40.543701,2023.0,Transit,1682.0,A
wasp-178 b,21.74546,448.1403,3.3448412,0.0,WASP-178,1.93,1.801,8640.0,427.678,227.270329,-42.7049658,2019.0,Transit,2402.0,A
wasp-33 b,17.855937,665.21819,1.21987,,WASP-33,1.495,1.444,7430.0,121.944,36.7127375,37.5504441,2010.0,Transit,2781.7,A
ztf j1230-2655 b,13.78704626,7024.0077947,0.23597766,,ZTF J1230-2655,0.646,0.0123,10000.0,186.69,187.5689308,-26.9309608,2025.0,Transit,,A
bet pic b,,,7482.5,0.06,bet Pic,1.95,1.54416,8038.68,19.7442,86.8212337,-51.066148,2008.0,Imaging,,A
