pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype
hd 100546 b,77.3421,2701.5414595,,,HD 100546,2.4,,10500.0,109.677,173.3555116,-70.1947897,2014.0,Imaging,,B9 Vne
hd 97048 b,,794.575,,,HD 97048,2.4,2.25,10000.0,183.857,167.0133422,-77.654853,2019.0,Disk Kinematics,,Be9.5/AO
hip 78530 b,,7300.0,,,HIP 78530,2.5,,10500.0,136.759,240.4810052,-21.980492,2010.0,Imaging,2700.0,B9 V
kic 10001893 b,,,0.2197,,KIC 10001893,,,27500.0,1672.94,287.3892308,46.9844491,2014.0,Orbital Brightness Modulation,,B
kic 10001893 c,,,0.32528,,KIC 10001893,,,27500.0,1672.94,287.3892308,46.9844491,2014.0,Orbital Brightness Modulation,,B
kic 10001893 d,,,0.81161,,KIC 10001893,,,27500.0,1672.94,287.3892308,46.9844491,2014.0,Orbital Brightness Modulation,,B
koi-55 b,0.759,0.44,0.240104,,KOI-55,0.496,0.203,27730.0,1231.02,296.3561853,41.0927315,2011.0,Orbital Brightness Modulation,,B
koi-55 c,0.867,0.655,0.342887,,KOI-55,0.496,0.203,27730.0,1231.02,296.3561853,41.0927315,2011.0,Orbital Brightness Modulation,,B
kepler-451 c,,511.70373527,1460.0,0.29,2MASS J19383260+4603591,0.48,0.203,29564.0,396.332,294.6359173,46.0664076,2022.0,Eclipse Timing Variations,,B
kepler-451 d,,559.37799632,43.0,0.0,2MASS J19383260+4603591,0.48,0.203,29564.0,396.332,294.6359173,46.0664076,2022.0,Eclipse Timing Variations,,B
ny vir b,,845.4278,3160.0,0.15,NY Vir,0.459,0.151,32780.0,544.024,204.7005847,-2.0303873,2011.0,Eclipse Timing Variations,,B
ny vir c,,1760.7782,8799.0,0.15,NY Vir,0.459,0.151,32780.0,544.024,204.7005847,-2.0303873,2019.0,Eclipse Timing Variations,,B
v0391 peg b,,1017.056,1170.0,0.0,V0391 Peg,0.5,0.23,29300.0,1195.98,331.0504119,26.4188227,2007.0,Pulsation Timing Variations,,B
ztf j1828+2308 b,11.13051784,6356.56814,0.1120067,,ZTF J1828+2308,0.61,0.0131,15900.0,201.827,277.2031946,23.1439121,2025.0,Transit,,B
b cen ab b,,3464.3296363,1790000.0,0.4,b Cen A,5.5,,,98.0935,220.4897992,-37.7936323,2021.0,Imaging,,B2.5 V
kap and b,,4327.36,,,kap And,2.6,,10900.0,50.0177,355.1025974,44.3338511,2012.0,Imaging,1900.0,B9 IV
mu2 sco b,,4576.7290608,,0.56,mu2 Sco,9.1,5.6,21700.0,,253.0838724,-38.0176339,2022.0,Imaging,,B2 IV
dd crb (ab)b,,,4852.3,0.46,DD CrB (AB),0.544,0.164,29230.0,518.549,233.456017209,37.9911376052,2016.0,Timing,,B
ogle-gd-ecl-11388 (ab)b,,,3250.0,,OGLE-GD-ECL-11388 (AB),0.47,0.21,30000.0,1612.38,203.70833335,-64.142222232,2016.0,Timing,,B
oy car (ab)b,,,12194.65,,OY Car (AB),0.793,0.011,15000.0,90.58,151.591666674,-70.234722228,2006.0,Timing,,B
sdss j1208+3550 b,,,0.0367777,,SDSS J1208+3550,0.952,0.0093,12000.0,207.615,182.17504075573,35.84038610042,2013.0,Timing,,B
sdss j1212+0136 b,0.95,,0.061407,,SDSS J1212+0136,0.61,0.012,10930.0,120.0,183.03878216453,1.60771423264,2005.0,"Timing, Other",,B
sdss j1730+5545 b,,6.0,0.024444,,SDSS J1730+5545,0.6,0.01,12700.0,1232.4,262.69827478802,55.75512612066,2014.0,Timing,,B
toi-1032 ab,1.4176,,5.659265,,TOI-1032 A,2.68,2.338,10395.0,587.196,159.2215,-42.54163888888889,2026.0,Primary Transit,,B
wd 0310-688 b,1.03,3.0,,,WD 0310-688,0.659,,15685.0,10.397,47.62920833333333,-68.60093888888889,2024.0,Other,,B
