pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype
51 eri b,,,11688.0,0.45,51 Eri,1.65,1.48726,7295.0,29.7575,69.4007424,-2.4738245,2015.0,Imaging,,F
af lep b,,1017.0509024,8030.0,0.24,AF Lep,1.2,1.25,6130.0,26.8564,81.7699216,-11.9011752,2023.0,Imaging,,F8 V
bd-14 3065 b,21.59,3932.0,4.2889731,0.066,BD-14 3065 A,1.41,2.35,6935.0,589.423,153.6696689,-15.6428372,2024.0,Transit,2001.0,F
bebop-3 b,,177.34825111,547.0,0.247,BEBOP-3,1.083,1.414,6033.0,119.052,110.902655,79.1323952,2025.0,Radial Velocity,,F
corot-1 b,19.223435,390.9309,1.5089682,0.036,CoRoT-1,1.22,1.23,6298.0,787.909,102.0798591,-3.1021394,2008.0,Transit,,F
corot-11 b,,,,,CoRoT-11,1.56,1.36,6343.0,655.037,280.6872998,5.9376586,2010.0,Transit,,F
corot-14 b,12.22,2415.4,1.51214,0.0,CoRoT-14,1.13,1.21,6035.0,1744.6,103.4242023,-5.5360385,2010.0,Transit,1952.0,F9 V
corot-19 b,13.33871,346.4347,3.89713,,CoRoT-19,1.181,1.576,6090.0,790.663,97.0335983,-0.1707293,2011.0,Transit,1630.0,F
corot-21 b,14.5717,718.2958,2.72474,0.0,CoRoT-21,1.29,1.95,6200.0,,101.0526207,-0.2991544,2012.0,Transit,,F8 IV
corot-25 b,12.11,85.81,4.86069,0.0,CoRoT-25,1.09,1.19,6040.0,1103.48,280.6296561,6.5138223,2013.0,Transit,1330.0,F9
corot-3 b,,,,,CoRoT-3,1.41,1.44,6558.0,768.771,292.0552827,0.1218359,2008.0,Transit,,F
corot-35 b,18.83108758,349.6112477,3.22748,0.0,CoRoT-35,1.01,1.65,6390.0,1123.21,289.3143526,-2.7747085,2022.0,Transit,1747.0,F6 V
corot-36 b,15.80466279,216.12331676,5.616531,0.0,CoRoT-36,1.32,1.52,6730.0,925.958,277.7510149,7.1833465,2022.0,Transit,1567.0,F3 V
corot-4 b,13.34,228.83,9.20205,0.0,CoRoT-4,1.16,1.17,6190.0,726.412,102.1946233,-0.6727861,2008.0,Transit,1074.0,F
corot-5 b,15.558092,151.92274,4.0378962,0.087,CoRoT-5,1.0,1.186,6100.0,882.472,101.2772396,0.8152163,2009.0,Transit,,F
dmpp-1 b,,24.27,18.57,0.083,DMPP-1,1.21,1.26,6196.0,62.5388,86.7761233,-10.6303217,2019.0,Radial Velocity,877.0,F8 V
dmpp-1 c,,9.6,6.584,0.057,DMPP-1,1.21,1.26,6196.0,62.5388,86.7761233,-10.6303217,2019.0,Radial Velocity,1239.0,F8 V
dmpp-1 e,,4.13,5.516,0.07,DMPP-1,1.21,1.26,6196.0,62.5388,86.7761233,-10.6303217,2019.0,Radial Velocity,1314.0,F8 V
dmpp-4 b,,12.2,3.4982,0.063,DMPP-4,1.25,1.38,6400.0,25.3284,293.5826648,51.2358069,2023.0,Radial Velocity,,F5-F8 V
epic 206024342 d,4.0,,14.637,,EPIC 206024342,,1.5,6438.0,369.888,331.2771441,-14.1218019,2021.0,Transit,,F
epic 212587672 b,1.26,,15.28078,,EPIC 212587672,0.99,0.98,6004.0,320.07,205.4445125,-10.8625468,2019.0,Transit,756.0,F
epic 212587672 c,,,23.226,,EPIC 212587672,1.13,0.94987,6055.0,320.07,205.4445125,-10.8625468,2021.0,Transit,,F
epic 246851721 b,11.780659,953.49,6.180235,,EPIC 246851721,1.317,1.586,6202.0,372.632,78.9198197,16.2786991,2018.0,Transit,1401.0,F5 V
gpx-1 b,16.47720163,6261.2196179,1.744579,0.0,GPX-1,1.68,1.56,7000.0,655.013,38.3691648,56.025708,2021.0,Transit,2300.0,F2
hat-p-14 b,13.4508,724.6524,4.627649,0.066,HAT-P-14,1.32,1.53,6583.0,222.663,260.1161719,38.2421682,2010.0,Transit,1612.0,F5 V
hat-p-16 b,13.33871,1331.38987,2.775970244,0.034,HAT-P-16,,,6158.0,226.637,9.5730343,42.4630961,2010.0,Transit,1571.0,F
hat-p-24 b,13.922,217.704,3.35524,0.067,HAT-P-24,1.191,1.317,6373.0,415.344,108.8251171,14.2626064,2010.0,Transit,1637.0,F8
hat-p-29 b,,,5.7233685,0.07,HAT-P-29,1.207,1.224,6087.0,313.576,33.1310921,51.7787754,2011.0,Transit,,F8
hat-p-31 b,,,5.005419,,HAT-P-31,1.31,1.39,6065.0,344.05,271.5376722,26.4266061,2011.0,Transit,,F
hat-p-33 b,19.6131,,3.4744763,,HAT-P-33,,1.67,6642.3,396.11,113.1842383,33.8350214,2011.0,Transit,1789.0,F
hat-p-35 b,14.93,334.979,3.646706,0.025,HAT-P-35,1.236,1.435,6096.0,506.965,123.250703,4.7870288,2011.0,Transit,1581.0,F
hat-p-39 b,17.609339,180.84527,3.54387,0.17,HAT-P-39,1.404,1.625,6430.0,697.004,113.7582526,17.8300283,2012.0,Transit,,F
hat-p-40 b,,,4.4572173,,HAT-P-40,1.512,2.206,6080.0,464.469,335.5129199,45.4573423,2012.0,Transit,,F
hat-p-41 b,,,,,HAT-P-41,1.28,1.19,6479.0,348.185,297.3226523,4.6724124,2012.0,Transit,,F
hat-p-49 b,17.4501,,2.6915408,,HAT-P-49,,1.96,6955.0,350.351,305.4413294,26.6926759,2014.0,Transit,2267.0,F
hat-p-50 b,,,3.12200511,,HAT-P-50,1.273,1.698,6280.0,515.458,118.0634379,12.1393474,2015.0,Transit,,F
hat-p-56 b,16.92559,734.1873,2.79083,,HAT-P-56,1.42,1.47,6566.0,320.639,100.8480137,27.2521823,2015.0,Transit,,F
hat-p-6 b,16.58932,419.5356,3.85298,0.0,HAT-P-6,1.79,1.62,6570.0,275.358,354.7740917,42.4659866,2007.0,Transit,,F
hat-p-60 b,18.28184752,182.43350562,4.7947813,0.25,HAT-P-60,1.435,2.197,6212.0,233.22,28.2825719,52.0539209,2021.0,Transit,1772.0,F
hat-p-64 b,18.1614,,4.007232,,HAT-P-64,,1.75,6202.0,651.897,68.9743955,2.4312732,2021.0,Transit,1664.0,F
hat-p-67 b,23.9872187,143.02278315,4.8101069,,HAT-P-67,1.73,2.62,6640.0,371.686,256.6107279,44.7768849,2017.0,Transit,,F
hat-p-7 b,16.05,,2.204735365,,HAT-P-7,1.47,1.96,6360.0,341.079,292.24719,47.9695429,2008.0,Transit,,F
hat-p-8 b,,,3.0763433,,HAT-P-8,1.28,1.58,6200.0,211.553,343.0414932,35.4471778,2008.0,Transit,,F
hat-p-9 b,15.614137,238.05467,3.92281072,0.084,HAT-P-9,1.281,1.338,6350.0,455.203,110.1685157,37.1405946,2008.0,Transit,1540.0,F
hats-26 b,17.80799124,,3.3023907305,,HATS-26,,1.91031,6071.0,861.843,144.9268593,-28.5856004,2016.0,Transit,1753.94,F
hats-27 b,,,4.6370496,,HATS-27,1.415,1.74,6438.0,816.988,193.5524603,-46.5877159,2016.0,Transit,,F
hats-3 b,15.479629,349.613,3.547851,0.3,HATS-3,1.21,1.4,6351.0,411.211,312.4574879,-24.4286938,2013.0,Transit,,F
hats-31 b,14.33267511,,3.37796143336,,HATS-31,,1.66165,6113.0,773.974,191.7028214,-24.4273897,2016.0,Transit,1617.93,F
hats-39 b,,,4.5776346,,HATS-39,1.379,1.621,6572.0,878.521,112.4192251,-29.9379163,2018.0,Transit,,F
hats-40 b,15.09024862,,3.26331647417,,HATS-40,,2.08347,6561.0,1342.29,100.5712467,-29.77678,2018.0,Transit,1912.75,F
