pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype
11 com b,,4914.89848585,323.21,0.238,11 Com,2.09,13.76,4874.0,93.1846,185.1787793,17.7932516,2007.0,Radial Velocity,,G8 III
16 cyg b b,,565.7374,798.5,0.68,16 Cyg B,1.08,1.13,5750.0,21.1397,295.4656422,50.5168243,1996.0,Radial Velocity,,G
24 boo b,,280.64248338,30.33,0.032,24 Boo,1.05,12.19,4816.0,95.9863,217.1555242,49.8446488,2018.0,Radial Velocity,,G3 IV
47 uma b,,778.6835,1076.6,0.012,47 UMa,1.063,,5882.0,13.7967,164.8647611,40.4304931,1996.0,Radial Velocity,,G0 V
47 uma c,,157.96071828,2287.0,0.179,47 UMa,1.005192,1.136537,5829.16,13.7967,164.8647611,40.4304931,2001.0,Radial Velocity,,G
47 uma d,,521.22,14002.0,0.16,47 UMa,1.06,1.21334,5872.0,13.7967,164.8647611,40.4304931,2009.0,Radial Velocity,,G
55 cnc c,,54.3486576,44.3827,0.048,55 Cnc,0.974708,0.964411,5317.89,12.5855,133.1468373,28.3298154,2004.0,Radial Velocity,,G
61 vir b,,5.8,4.215011,0.036,61 Vir,,,5552.0,8.50332,199.596455,-18.3157745,2009.0,Radial Velocity,,G
61 vir c,,16.11390023,38.0957,0.068,61 Vir,0.914072,1.03251,5585.57,8.50332,199.596455,-18.3157745,2009.0,Radial Velocity,,G
61 vir d,,10.92,123.15,0.105,61 Vir,,,5552.0,8.50332,199.596455,-18.3157745,2009.0,Radial Velocity,,G
70 vir b,,2297.89938261,116.69335,0.3989,70 Vir,1.06055,1.921943,5481.86,17.9011,202.1064898,13.7763085,1996.0,Radial Velocity,,G
75 cet b,,953.49,691.9,0.117,75 Cet,2.49,10.5,4846.0,82.9613,38.0391598,-1.0350269,2012.0,Radial Velocity,,G3 III
75 cet c,,289.85950718,2051.62,0.023,75 Cet,1.92,10.38,4809.0,82.9613,38.0391598,-1.0350269,2023.0,Radial Velocity,,G3 III
bd+20 594 b,2.57807,22.2481,41.6855,0.0,BD+20 594,1.67,1.08,5766.0,179.461,53.6511231,20.5990205,2016.0,Transit,,G
bd-10 3166 b,,142.70495474,3.487905,0.022,BD-10 3166,0.999531,0.969745,5382.64,84.4069,164.6191243,-10.7704227,2000.0,Radial Velocity,,G
bebop-4 ab b,,8358.8871041,1823.5,0.428,BEBOP-4 A,1.507,,,234.294,192.5772651,26.1595358,2025.0,Radial Velocity,,G3 V
corot-12 b,16.14096,290.81445,2.828042,0.05,CoRoT-12,1.078,1.116,5675.0,1126.37,100.7656871,-1.2964437,2010.0,Transit,,G
corot-13 b,14.033668,416.99296,4.03519,,CoRoT-13,1.086,1.274,5945.0,1148.93,102.7211432,-5.0864557,2010.0,Transit,1432.0,G
corot-16 b,13.11,170.032,5.35227,0.33,CoRoT-16,1.098,1.19,5650.0,732.409,278.5246658,-6.0026026,2011.0,Transit,,G5 V
corot-17 b,11.43,772.29,3.7681,0.0,CoRoT-17,1.04,1.59,5740.0,1176.12,278.699236,-6.612288,2011.0,Transit,1626.0,G2 V
corot-18 b,14.68,1102.82,1.9000693,0.08,CoRoT-18,0.95,1.0,5440.0,764.889,98.1724172,-0.0316045,2011.0,Transit,1550.0,G9 V
corot-2 b,16.36514,1134.6531,1.7429935,,CoRoT-2,0.997,0.901,5598.0,213.283,291.7770457,1.3836634,2008.0,Transit,1521.0,G
corot-20 b,13.00244,1608.2198,9.24285,,CoRoT-20,1.11,1.34,5880.0,844.061,97.7204249,0.2268931,2011.0,Transit,1100.0,G
corot-22 b,4.88,12.2,9.75598,0.077,CoRoT-22,1.099,1.136,5939.0,627.158,280.6671392,6.2191669,2014.0,Transit,885.0,G3 V
corot-23 b,11.76945,982.0947,3.6313,0.16,CoRoT-23,1.14,1.61,5900.0,1060.97,279.7826586,4.3577516,2011.0,Transit,,G
corot-26 b,14.12,165.26,4.20474,0.0,CoRoT-26,1.09,1.79,5590.0,1045.18,279.7504991,6.9697828,2013.0,Transit,1600.0,G5
corot-27 b,11.287,3302.11,3.57532,0.065,CoRoT-27,1.05,1.08,5900.0,1010.28,278.4958319,5.5383811,2014.0,Transit,1500.0,G2
corot-30 b,11.309881,921.707,9.06005,0.007,CoRoT-30,0.98,0.91,5650.0,1032.23,277.6011767,6.8359338,2020.0,Transit,,G3 V
corot-31 b,16.36514,266.9772,4.62941,0.02,CoRoT-31,1.25,2.15,5700.0,2005.76,94.820735,-4.4222978,2020.0,Transit,,G2 IV
corot-32 b,6.38913,47.6745,6.71837,,CoRoT-32,1.08,0.79,5970.0,576.683,100.1951714,9.2573953,2018.0,Transit,938.0,G0 VI
corot-7 c,,13.289,3.697,,CoRoT-7,0.915,,5250.0,159.906,100.9561682,-1.0630076,2009.0,Radial Velocity,,G9 V
corot-7 d,,17.142,8.966,,CoRoT-7,0.915,,5250.0,159.906,100.9561682,-1.0630076,2022.0,Radial Velocity,,G9 V
corot-9 b,11.948794,268.88418,95.272656,0.134,CoRoT-9,0.96,0.96,5625.0,412.98,280.7866461,6.2040783,2009.0,Transit,,G
dmpp-7 b,,61.39,4.984,0.1,DMPP-7,1.09,,,101.386,203.5284651,0.4988127,2026.0,Radial Velocity,,G1 V
ds tuc a b,5.63,413.179,8.1387,,DS Tuc A,0.959,0.872,5542.0,44.0622,354.9154673,-69.196043,2019.0,Transit,,G6 V
epic 201427007 b,1.5,,0.72091,,EPIC 201427007,,0.94,5633.0,706.391,184.6021322,-0.5512886,2021.0,Transit,,G
epic 201595106 b,1.2,,0.87703,,EPIC 201595106,1.018,0.990833,5711.17,232.1,183.7203635,1.9681688,2021.0,Transit,1874.0,G
epic 206024342 c,1.35,,0.9116567,,EPIC 206024342,,0.94,5648.0,369.888,331.2771441,-14.1218019,2021.0,Transit,,G
epic 211945201 b,,,19.4921498,,EPIC 211945201,1.18,1.38,6025.0,181.69,136.5741931,19.4020565,2018.0,Transit,,G0
epic 212624936 b,1.2,,0.578657,,EPIC 212624936,,0.93,5765.0,561.929,210.6376171,-10.0236852,2021.0,Transit,,G
epic 220492298 b,0.99,,0.762406,,EPIC 220492298,,0.89,5620.0,624.512,16.7615005,6.588798,2021.0,Transit,,G
epic 220674823 b,1.87,8.03,0.571282,,EPIC 220674823,0.91,0.995,5496.0,244.59,13.0800239,10.7947051,2016.0,Transit,2115.0,G
epic 220674823 c,2.712,7.9,13.340603,0.18,EPIC 220674823,0.913,0.99,5578.0,244.59,13.0800239,10.7947051,2016.0,Transit,838.0,G5 V
epic 229004835 b,2.332,10.4,16.141132,0.23,EPIC 229004835,0.97,0.999,5868.0,121.971,186.4860415,-1.4047214,2023.0,Transit,804.0,G
epic 249893012 b,1.95,8.75,3.5951,0.06,EPIC 249893012,1.05,1.71,5430.0,321.296,228.2482353,-16.7246474,2020.0,Transit,1616.0,G8 IV/V
epic 249893012 c,3.67,14.67,15.624,0.07,EPIC 249893012,1.05,1.71,5430.0,321.296,228.2482353,-16.7246474,2020.0,Transit,990.0,G8 IV/V
