pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype
14 and b,,1131.15130051,186.76,0.0,14 And,1.78,11.55,4888.0,75.4392,352.82415,39.2358367,2008.0,Radial Velocity,,K0 III
17 sco b,,1373.01871824,578.38,0.06,17 Sco,1.22,25.92,4157.0,124.953,243.4620874,-11.8377905,2020.0,Radial Velocity,,K3 III
1rxs j160929.1-210524 b,,4000.0,,,1RXS J160929.1-210524,0.85,,4060.0,139.135,242.3762343,-21.0831403,2008.0,Imaging,1700.0,K
24 sex b,,632.46,452.8,0.09,24 Sex,1.54,4.9,5098.0,72.0691,155.8684866,-0.9023998,2010.0,Radial Velocity,,K
24 sex c,,273.32,883.0,0.29,24 Sex,1.54,4.9,5098.0,72.0691,155.8684866,-0.9023998,2010.0,Radial Velocity,,K
2mass j22362452+4751425 b,,3972.875,,,2MASS J22362452+4751425,0.6,,4045.0,69.5737,339.1025931,47.861683,2016.0,Imaging,,K7 V
4 uma b,,2256.5,269.3,0.432,4 UMa,1.234,18.11,4415.0,73.4603,130.0528099,64.3280504,2006.0,Radial Velocity,,K1 III
55 cnc d,,1226.77,4867.0,0.0269,55 Cnc,0.9,0.963515,5250.0,12.5855,133.1468373,28.3298154,2002.0,Radial Velocity,,K
55 cnc e,,7.95,0.736547,0.032,55 Cnc,,,5292.0,12.5855,133.1468373,28.3298154,2004.0,Radial Velocity,,K
55 cnc f,,47.8,259.88,0.08,55 Cnc,0.905,0.943,5172.0,12.5855,133.1468373,28.3298154,2007.0,Radial Velocity,,K
6 lyn b,,597.83523357,919.86,0.042,6 Lyn,1.32,4.94,4941.0,54.6599,97.6960311,58.1611753,2008.0,Radial Velocity,,K0 IV
7 cma b,,781.8618,796.0,0.22,7 CMa,,4.90843,4794.52,19.8101,99.171276,-19.2561808,2011.0,Radial Velocity,,K
8 umi b,,524.41687155,93.31,0.062,8 UMi,1.51,10.73,4847.0,162.552,224.201685,74.9009379,2015.0,Radial Velocity,,K
91 aqr b,,1017.0,181.4,0.027,91 Aqr,1.4,11.0,4665.0,44.0304,348.9745031,-9.0878076,2013.0,Radial Velocity,,K0 III
ab pic b,,4290.5,,,AB Pic,,,,50.0475,94.8039208,-58.0541184,2005.0,Imaging,,K2 V
bd+03 2562 b,,2034.112,481.9,0.2,BD+03 2562,1.14,32.35,4095.0,1070.63,177.5647268,2.7601075,2017.0,Radial Velocity,,K
bd+05 4868 a b,,6.2,1.271869,,BD+05 4868 A,0.7,0.69,4596.0,43.5687,326.8614036,6.6053185,2025.0,Transit,1820.0,K V
bd+14 4559 b,,467.19,268.94,0.29,BD+14 4559,0.86,0.95,5008.0,49.352,318.4010002,14.6893834,2009.0,Radial Velocity,,K2 V
bd+15 2375 b,,337.21763,153.22,0.001,BD+15 2375,1.08,8.95,4649.0,768.045,176.4820239,14.6163182,2016.0,Radial Velocity,,K
bd+15 2940 b,,352.78,137.48,0.26,BD+15 2940,1.1,14.7,4796.0,426.42,240.09564,15.5467507,2013.0,Radial Velocity,,K0
bd+20 2457 b,,17668.1697,379.63,0.15,BD+20 2457,10.83,71.02,4259.0,1539.71,154.186782,19.8912626,2009.0,Radial Velocity,,K
bd+20 2457 c,,3963.17,621.99,0.18,BD+20 2457,2.8,49.0,4137.0,1539.71,154.186782,19.8912626,2009.0,Radial Velocity,,K2 II
bd+20 274 b,,1334.886,578.2,0.21,BD+20 274,0.8,17.3,4296.0,1322.51,25.9203179,21.0052692,2012.0,Radial Velocity,,K5 III
bd+37 3172 b,,3368.9811142,1887.76,0.59,BD+37 3172,3.75,50.24,4500.0,454.251,278.8155071,38.1153886,2023.0,Radial Velocity,,K
bd+42 2315 b,,174.80562385,123.05,0.73,BD+42 2315,1.38,17.85,4500.0,610.715,187.5887597,41.2695674,2023.0,Radial Velocity,,K
bd+45 564 b,,432.24663352,307.88,0.12,BD+45 564,0.81,,5004.0,53.622,32.9470485,45.9242187,2021.0,Radial Velocity,,K1
bd+48 738 b,,289.2253,392.6,0.2,BD+48 738,0.74,11.0,4414.0,871.493,40.7102869,49.5869395,2011.0,Radial Velocity,,K0 III
bd+48 740 b,,540.311,733.0,0.76,BD+48 740,1.09,10.33,4534.0,666.589,40.7425426,48.9300579,2018.0,Radial Velocity,,K
