pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype
2m0437 b,,1271.313628,,,2MASS J04372171+2651014,0.17,0.84,3100.0,128.484,69.3405531,26.8502997,2021.0,Imaging,1450.0,M V
2mass j01033563-5515561 ab b,,4131.79,,,2MASS J01033563-5515561 A,0.19,,,,15.8992489,-55.2658291,2013.0,Imaging,,M5.5/M6
2mass j01225093-2439505 b,,7786.5,,,2MASS J01225093-2439505,0.4,,3530.0,33.8281,20.7128012,-24.6646128,2013.0,Imaging,,M3.5 V
2mass j02192210-3925225 b,16.14096,4417.837,,,2MASS J02192210-3925225,0.108,0.281,3064.0,,34.8427046,-39.4230767,2015.0,Imaging,,M6
2mass j0249-0557 c,17.37392009,3616.88727166,,,2MASS J0249-0557 A,0.046,,,66.0613,42.4851627,-5.9599921,2018.0,Imaging,1723.0,M6 V
2mass j04414489+2301513 b,,2383.6,,,2MASS J04414489+2301513,0.019,,,,70.4371079,23.0308544,2010.0,Imaging,,M8.5
2mass j12073346-3932539 b,15.69257298,1652.7077164,,,2MASS J12073346-3932539,,,,64.308,181.8890906,-39.5484399,2004.0,Imaging,1163.0,M8
2mass j22501512+2325342 b,,9534.85221,,,2MASS J22501512+2325342,,,,57.2309,342.5634097,23.4259058,2018.0,Imaging,1600.0,M3
55 cnc b b,,3.5,6.7994,0.0,55 Cnc B,0.26,0.274,3286.0,12.4773,133.167908,28.3152863,2025.0,Radial Velocity,,M4.5 V
55 cnc b c,,5.3,33.747,0.0,55 Cnc B,0.26,0.274,3286.0,12.4773,133.167908,28.3152863,2025.0,Radial Velocity,,M4.5 V
at2021ueyl b,,425.89006538,4168.69,,AT2021ueyL,0.49,,3680.0,1040.0,324.5450417,26.4665694,2025.0,Microlensing,,M V
au mic b,,10.2,8.4631427,,AU Mic,0.6,0.82,3665.0,9.7221,311.2911369,-31.34245,2020.0,Transit,,M
au mic c,2.79,14.46,18.859023,0.18,AU Mic,0.635,0.862,3540.0,9.7221,311.2911369,-31.34245,2021.0,Transit,424.7,M1 V
au mic d,,1.053,12.73596,0.00305,AU Mic,0.51,0.744,3678.0,9.7221,311.2911369,-31.34245,2023.0,Transit Timing Variations,,M
au mic e,,21.1,33.11,,AU Mic,0.6,0.82,3665.0,9.7221,311.2911369,-31.34245,2025.0,Radial Velocity,,M
barnard b,,0.37,3.1533,0.16,Barnard's star,0.162,0.185,3195.0,1.82655,269.4486144,4.7379808,2024.0,Radial Velocity,400.0,M3.5-4 V
barnard c,,0.335,4.1244,0.08,Barnard's star,0.162,0.185,3195.0,1.82655,269.4486144,4.7379808,2025.0,Radial Velocity,400.0,M3.5-4 V
barnard d,,0.263,2.3402,0.04,Barnard's star,0.162,0.185,3195.0,1.82655,269.4486144,4.7379808,2025.0,Radial Velocity,483.0,M3.5-4 V
barnard e,,0.193,6.7392,0.04,Barnard's star,0.162,0.185,3195.0,1.82655,269.4486144,4.7379808,2025.0,Radial Velocity,340.0,M3.5-4 V
cd cet b,,3.95,2.2907,,CD Cet,0.161,0.175,3130.0,8.60715,48.3530155,4.7751881,2020.0,Radial Velocity,464.0,M5.0 V
cd-35 2722 b,17.37392009,9375.9380065,,,CD-35 2722,,,3689.0,22.3896,92.3300147,-35.8255375,2011.0,Imaging,,M1 V
cfhtwir-oph 98 b,20.8487041,2479.0615746,8040000.0,,CFHTWIR-Oph 98 A,0.0147,0.245,2320.0,,246.934277,-23.98115,2020.0,Imaging,1800.0,M9-L1
