# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jun 10 00:23:08 2026
#
# User ID:         aniketambasth
#
# User preference: archive defaults*
#
# CONSTRAINT:  where (soltype like '%Published Confirmed%'
# CONSTRAINT:  and pl_controv_flag = 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
11 Com b,11 Com,1,2,1,Radial Velocity,2007,Xinglong Station,Published Confirmed,0,<a refstr=TENG_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023PASJ...75.1030T/abstract target=ref>Teng et al. 2023</a>,323.21000000000,1.1780000000,,,4914.89848585,15.46400000,Msini,0.238000,,,0,<a refstr=TENG_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023PASJ...75.1030T/abstract target=ref>Teng et al. 2023</a>,G8 III,4874.00,13.760000,2.090000,-0.2600,[Fe/H],2.450000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.18460000,4.7230700,2.2820000,4.4403800,2023-09-19,2023-12,2023-09-19
11 Com b,11 Com,0,2,1,Radial Velocity,2007,Xinglong Station,Published Confirmed,0,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,1.2100000000,,,5434.70000000,17.10000000,Msini,,,,0,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,,,2.600000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.18460000,4.7230700,2.2820000,4.4403800,2014-07-23,2011-08,2014-07-23
11 Com b,11 Com,0,2,1,Radial Velocity,2007,Xinglong Station,Published Confirmed,0,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,326.03000000000,1.2900000000,,,6165.60000000,19.40000000,Msini,0.231000,,,0,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,G8 III,4742.00,19.000000,2.700000,-0.3500,[Fe/H],2.310000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.18460000,4.7230700,2.2820000,4.4403800,2014-05-14,2008-01,2014-05-14
11 UMi b,11 UMi,0,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,Published Confirmed,0,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,1.5100000000,,,3432.40000000,10.80000000,Msini,,,,0,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,,,1.700000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.32100000,5.0130000,1.9390000,4.5621600,2018-04-25,2011-08,2014-07-23
11 UMi b,11 UMi,0,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,Published Confirmed,0,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,516.22000000000,1.5400000000,,,3337.07000000,10.50000000,Msini,0.080000,,,0,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,K4 III,4340.00,24.080000,1.800000,0.0400,[Fe/H],1.600000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.32100000,5.0130000,1.9390000,4.5621600,2018-04-25,2009-10,2014-05-14
11 UMi b,11 UMi,1,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,516.21997000000,1.5300000000,,,4684.81420000,14.74000000,Msini,0.080000,,,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4213.00,29.790000,2.780000,-0.0200,[Fe/H],1.930000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.32100000,5.0130000,1.9390000,4.5621600,2018-09-04,2017-03,2018-09-06
14 And b,14 And,1,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,Published Confirmed,0,<a refstr=TENG_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023PASJ...75.1030T/abstract target=ref>Teng et al. 2023</a>,186.76000000000,0.7750000000,,,1131.15130051,3.55900000,Msini,0.000000,,,0,<a refstr=TENG_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023PASJ...75.1030T/abstract target=ref>Teng et al. 2023</a>,K0 III,4888.00,11.550000,1.780000,-0.2100,[Fe/H],2.550000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.43920000,5.2313300,2.3310000,4.9178100,2023-09-19,2023-12,2023-09-19
14 And b,14 And,0,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,Published Confirmed,0,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,0.6800000000,,,1017.00000000,3.20000000,Msini,,,,0,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,,,1.200000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.43920000,5.2313300,2.3310000,4.9178100,2014-07-23,2011-08,2014-07-23
14 And b,14 And,0,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,Published Confirmed,0,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,185.84000000000,0.8300000000,,,1525.50000000,4.80000000,Msini,0.000000,,,0,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,K0 III,4813.00,11.000000,2.200000,-0.2400,[Fe/H],2.630000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.43920000,5.2313300,2.3310000,4.9178100,2014-05-14,2008-12,2014-05-14
14 Her b,14 Her,0,1,2,Radial Velocity,2002,W. M. Keck Observatory,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,1765.03890000000,2.7740000000,,,2559.47216157,8.05300000,Mass,0.373000,,,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,0.910000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000,6.6193500,4.7140000,6.3830000,2023-06-12,2022-09,2023-06-12
