pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype,star_metallicity,star_gaia_magnitude
11 com b,,4914.89848585,323.21,0.238,11 Com,2.09,13.76,4874.0,93.1846,185.1787793,17.7932516,2007.0,Radial Velocity,,G8 III,-0.26,4.44038
11 umi b,,3432.4,,,11 UMi,1.7,,,125.321,229.2745954,71.8239428,2009.0,Radial Velocity,,,,4.56216
14 and b,,1131.15130051,186.76,0.0,14 And,1.78,11.55,4888.0,75.4392,352.82415,39.2358367,2008.0,Radial Velocity,,K0 III,-0.21,4.91781
14 her b,,2559.47216157,1765.0389,0.373,14 Her,0.91,,,17.9323,242.6021014,43.8163621,2002.0,Radial Velocity,,,,6.383
16 cyg b b,,565.7374,798.5,0.68,16 Cyg B,1.08,1.13,5750.0,21.1397,295.4656422,50.5168243,1996.0,Radial Velocity,,,0.06,6.06428
17 sco b,,1373.01871824,578.38,0.06,17 Sco,1.22,25.92,4157.0,124.953,243.4620874,-11.8377905,2020.0,Radial Velocity,,K3 III,-0.01,4.75429
18 del b,,3127.3,,,18 Del,2.1,,,76.222,314.6078375,10.8391378,2008.0,Radial Velocity,,,,5.27476
1rxs j160929.1-210524 b,,4000.0,,,1RXS J160929.1-210524,0.85,,4060.0,139.135,242.3762343,-21.0831403,2008.0,Imaging,1700.0,,,12.0572
24 boo b,,280.64248338,30.33,0.032,24 Boo,1.05,12.19,4816.0,95.9863,217.1555242,49.8446488,2018.0,Radial Velocity,,G3 IV,-0.78,5.3339
24 sex b,,632.46,452.8,0.09,24 Sex,1.54,4.9,5098.0,72.0691,155.8684866,-0.9023998,2010.0,Radial Velocity,,,-0.03,6.20374
24 sex c,,273.32,883.0,0.29,24 Sex,1.54,4.9,5098.0,72.0691,155.8684866,-0.9023998,2010.0,Radial Velocity,,,-0.03,6.20374
2m0437 b,,1271.313628,,,2MASS J04372171+2651014,0.17,0.84,3100.0,128.484,69.3405531,26.8502997,2021.0,Imaging,1450.0,M V,0.01,14.3374
